Year,J(t),A(t),E(t),Total clasificado,% 0-14,% 15-64,% 65+
2002,4156812,10288683,1246206,15691701,26.49051241,65.56767173,7.941815868
2003,4116188,10456445,1284344,15856977,25.95821385,65.94223477,8.099551384
2004,4057629,10640163,1324341,16022133,25.32514866,66.40915414,8.265697208
2005,3991476,10826184,1365829,16183489,24.6638781,66.89647702,8.439644875
2006,3921521,11017529,1408840,16347890,23.98793361,67.39419583,8.617870563
2007,3864328,11200341,1453264,16517933,23.39474316,67.80715844,8.798098406
2008,3823083,11375175,1499496,16697754,22.89579185,68.12398242,8.980225724
2009,3792259,11541067,1547752,16881078,22.46455469,68.36688392,9.168561392
2010,3767767,11697176,1598984,17063927,22.08030426,68.54914464,9.370551105
2011,3748933,11851404,1653822,17254159,21.72770635,68.68723071,9.58506294
2012,3732105,11998670,1712716,17443491,21.39540187,68.78594428,9.818653846
2013,3712426,12125123,1774353,17611902,21.07907482,68.84618708,10.07473809
2014,3698929,12251374,1837314,17787617,20.79496652,68.87585898,10.3291745
2015,3695756,12369304,1906363,17971423,20.56462641,68.82762706,10.60774653
2016,3692751,12488678,1985718,18167147,20.32653228,68.74319892,10.9302688
2017,3689702,12658694,2070796,18419192,20.03183419,68.72556625,11.24259957
2018,3696140,12890070,2165195,18751405,19.71126964,68.74188894,11.54684142
2019,3714172,13132822,2260222,19107216,19.43858278,68.73226325,11.82915397
2020,3738038,13361656,2358616,19458310,19.2104967,68.66812174,12.12138156
2021,3745665,13473999,2458699,19678363,19.03443391,68.47113756,12.49442853
2022,3739366,13528576,2560621,19828563,18.85848208,68.22771776,12.91380016
2023,3722867,13573894,2664128,19960889,18.65080759,68.0024522,13.34674022
2024,3698025,13619165,2769187,20086377,18.41061233,67.80299404,13.78639363