Year,J(t),A(t),E(t),No especificado,Total clasificado,Total general,% 0-14,% 15-64,% 65+
1950,10754468,15123595,865614,47340,26743677,25791017,41.70%,58.64%,3.36%
1960,15452107,18162444,1195035,113543,34809586,34923129,44.24%,52.01%,3.42%
1970,22286680,24146173,1791385,0,48224238,48225238,46.22%,50.06%,3.71%
1980,28726174,35366290,2561120,193249,66653584,66846833,42.97%,52.90%,3.83%
1990,31146504,46233035,3376841,492265,80756380,81249645,38.33%,56.90%,4.16%
1995,32261711,54654036,4027690,214853,90943437,91158290,35.39%,59.96%,4.42%
2000,32586973, 58092327,4750311,2053801,95429511,97483412,33.44%,59.59%,6.97%
2005,31650104,63086205,5716359,2810720,100452668,103263388,31.51%,62.80%,5.69%
2010,32515796,71484423,6938913,1397406,110939132,112336538,29.31%,64.44%,6.25%
2020,31755284,83663440,10321914,273386,125740638,126014024,25.25%,66.54%,8.21%