_id,RENGLON,ANIO,ENTIDAD,POB_012_014,POB_015_017,POB_015_019,POB_015_29,POB_015_49,POB_018_24,POB_20_24,POB_3_5,POB_30_64,POB_6_011,POB_65_MAS
1077,1077,2002,Republica Mexicana,6745012,6438945,10454343,28109744,52782268,13107820,9092422,7001429,33776887,14027056,5399307
1110,1110,2003,Republica Mexicana,6821597,6509792,10600140,28355707,53748849,13281610,9191262,7019128,34776020,13989007,5576695
1143,1143,2004,Republica Mexicana,6895541,6572345,10723243,28591716,54679054,13471239,9320341,7032366,35774997,13933742,5761262
1176,1176,2005,Republica Mexicana,6949054,6641939,10841197,28856115,55610725,13674110,9474852,7015770,36774221,13894146,5953231
1209,1209,2006,Republica Mexicana,6972817,6729384,10979620,29209935,56615802,13908514,9658278,6972307,37781247,13885841,6155725
1242,1242,2007,Republica Mexicana,6969602,6823288,11135260,29661328,57702340,14175827,9863855,6925614,38795167,13900264,6368873
1275,1275,2008,Republica Mexicana,6946652,6898126,11284708,30174298,58832509,14465372,10078790,6894242,39812646,13917668,6585485
1308,1308,2009,Republica Mexicana,6915859,6936236,11404978,30701182,59950963,14759765,10291023,6885110,40824468,13923119,6808607
1341,1341,2010,Republica Mexicana,6897957,6938534,11478125,31200819,61006489,15036571,10496980,6896942,41821988,13910509,7046284
1374,1374,2011,Republica Mexicana,6910058,6916622,11499247,31658216,61995089,15284811,10702186,6921470,42818358,13875129,7302545
1407,1407,2012,Republica Mexicana,6944188,6884315,11480422,32058664,62912102,15491149,10895042,6942901,43818812,13822379,7569447
1440,1440,2013,Republica Mexicana,6971753,6863407,11451123,32407659,63769362,15647901,11060185,6944815,44829267,13775713,7840039
1473,1473,2014,Republica Mexicana,6964902,6871123,11435954,32710412,64569824,15747825,11182994,6914338,45845401,13751192,8110040
1506,1506,2015,Republica Mexicana,6920489,6899294,11437450,32950367,65289020,15783170,11245014,6847986,46852979,13742857,8375584
1572,1572,2017,Republica Mexicana,6820301,6912686,11456993,33273975,66543114,15764776,11220469,6682383,48853201,13715827,8935919
1605,1605,2018,Republica Mexicana,6801959,6872256,11446958,33381097,67123371,15767176,11192474,6612325,49866875,13669250,9257526
1638,1638,2019,Republica Mexicana,6806052,6821526,11409227,33450014,67670109,15772576,11184875,6536063,50879684,13591123,9602115
1671,1671,2020,Republica Mexicana,6823746,6782179,11351162,33471880,68146142,15767615,11198632,6444496,51800248,13486559,9860625
1704,1704,2021,Republica Mexicana,6842366,6765987,11297791,33458571,68565221,15754626,11222822,6360309,52639999,13360495,10027670
1737,1737,2022,Republica Mexicana,6844696,6772061,11270387,33438314,69019169,15739525,11241199,6303825,53585031,13211605,10325860