Año,Ingreso en UF,Ingreso en USD
2005,"287,827.17","12,106,828 USD"
2006,"328,000.84","13,798,435 USD"
2007,"328,041.73","13,800,142 USD"
2008,"323,008.96","13,593,992 USD"
2009,"381,527.38","16,058,863 USD"
2010,"343,302.76","14,448,901 USD"
2011,"435,512.88","18,323,634 USD"
2012,"413,230.82","17,385,135 USD"
2013,"493,049.56","20,744,248 USD"
2014,"538,640.86","22,655,040 USD"
2015,"585,514.30","24,633,235 USD"
2016,"681,480.93","28,680,528 USD"
2017,"571,548.31","24,043,668 USD"
2018,"722,171.53","30,388,161 USD"
2019,"982,580.22","41,337,486 USD"